country,Code,Year,Gender wage gap %,,Wage Gap Whole Number,,,
Brazil,BRA,1981,34.21,,3421,,Avg,10.88694915
Brazil,BRA,1982,33.66,,,,Median,10.68
Brazil,BRA,1983,35.75,,,,Mode,0
Brazil,BRA,1984,34.04,,,,STD,10.24187295
Brazil,BRA,1985,28.58,,,,Empty Cells,0
Argentina,ARG,1986,15.79,,,,rows,4
Brazil,BRA,1986,34.69,,,,columns,413
Argentina,ARG,1987,12.5,,,,,
Brazil,BRA,1987,32.01,,,,,
Argentina,ARG,1988,11.31,,,,,
Brazil,BRA,1988,30.88,,,,,
Costa Rica,CRI,1989,4.55,,,,,
Venezuela,VEN,1989,11.78,,,,,
Panama,PAN,1989,18.18,,,,,
Mexico,MEX,1989,20.58,,,,,
Uruguay,URY,1989,22.22,,,,,
Brazil,BRA,1989,33.33,,,,,
Costa Rica,CRI,1990,3.13,,,,,
Brazil,BRA,1990,26.11,,,,,
Chile,CHL,1990,26.45,,,,,
Jamaica,JAM,1990,28.42,,,,,
Costa Rica,CRI,1991,1.23,,,,,
Panama,PAN,1991,4.55,,,,,
Argentina,ARG,1991,6.71,,,,,
Honduras,HND,1991,19.35,,,,,
Costa Rica,CRI,1992,1.03,,,,,
Argentina,ARG,1992,8.33,,,,,
Venezuela,VEN,1992,12.23,,,,,
Brazil,BRA,1992,15.44,,,,,
Honduras,HND,1992,19.44,,,,,
Bolivia,BOL,1992,21.05,,,,,
Uruguay,URY,1992,21.82,,,,,
Chile,CHL,1992,24.47,,,,,
Mexico,MEX,1992,25.35,,,,,
Belize,BLZ,1993,-28.27,,,,,
Costa Rica,CRI,1993,-6.53,,,,,
Nicaragua,NIC,1993,6.78,,,,,
Argentina,ARG,1993,7.69,,,,,
Honduras,HND,1993,20.45,,,,,
Brazil,BRA,1993,25.62,,,,,
Bolivia,BOL,1993,30.95,,,,,
Argentina,ARG,1994,-2.27,,,,,
Costa Rica,CRI,1994,-0.68,,,,,
Belize,BLZ,1994,9.24,,,,,
Honduras,HND,1994,14.04,,,,,
Mexico,MEX,1994,16.87,,,,,
Costa Rica,CRI,1995,2.28,,,,,
Argentina,ARG,1995,4.44,,,,,
Panama,PAN,1995,8.33,,,,,
Venezuela,VEN,1995,13.21,,,,,
Uruguay,URY,1995,16.32,,,,,
Honduras,HND,1995,21.13,,,,,
