ISO3,Country,Continent,Hemisphere,Human Development Groups,UNDP Developing Regions,HDI Rank (2021),Inequality in income (2010),Inequality in income (2011),Inequality in income (2012),Inequality in income (2013),Inequality in income (2014),Inequality in income (2015),Inequality in income (2016),Inequality in income (2017),Inequality in income (2018),Inequality in income (2019),Inequality in income (2020),Inequality in income (2021),,,,,Min Max 2010,Min Max 2011,Min Max 2012,Min Max 2013,Min Max 2014,Min Max 2015,Min Max 2016,Min Max 2017,Min Max 2018,Min Max 2019,Min Max 2020,Min Max 2021
CHE,Switzerland,Europe,Northern Hemisphere,Very High,N/A,1,24.3,13.2,12.3,11.1,12.2,12.2,14.5,14.5,14.8,14.8,15.6,15.6,,,,,0.30,0.12,0.10,0.08,0.10,0.10,0.14,0.14,0.14,0.14,0.16,0.16
NOR,Norway,Europe,Northern Hemisphere,Very High,N/A,2,12.8,10.7,10.2,10.4,11.1,11,11.8,12.7,11.5,11.5,11.4,11.4,,,,,0.11,0.08,0.07,0.07,0.08,0.08,0.10,0.11,0.09,0.09,0.09,0.09
ISL,Iceland,Europe,Northern Hemisphere,Very High,N/A,3,13.2,11.6,12.2,11.1,10.2,11.7,9.8,9.8,9.5,9.5,9.5,9.5,,,AVG,,0.12,0.09,0.10,0.08,0.07,0.09,0.06,0.06,0.06,0.06,0.06,0.06
HKG,Hong Kong,Asia,Northern Hemisphere,Very High,N/A,4,24.3,25.6,25.6,25.6,25.6,25.6,25.6,25.6,25.6,25.6,25.6,25.6,,2010,24.3,,0.30,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32
AUS,Australia,Oceania,Southern Hemisphere,Very High,N/A,5,17.7,17.7,17.7,17.7,17.3,17.3,17.1,17.1,17.1,17.1,17.1,17.1,,2011,24.04,,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18
DNK,Denmark,Europe,Northern Hemisphere,Very High,N/A,6,11,13.3,14.4,12.8,13.5,12.3,11.5,11.4,10.9,10.9,10.1,10.1,,2012,24.06,,0.08,0.12,0.14,0.11,0.12,0.10,0.09,0.09,0.08,0.08,0.07,0.07
SWE,Sweden,Europe,Northern Hemisphere,Very High,N/A,7,11.2,12.4,13.1,12.7,13.8,13.8,13.5,13,12.6,12.6,12.8,12.8,,2013,24.3,,0.09,0.11,0.12,0.11,0.13,0.13,0.12,0.12,0.11,0.11,0.11,0.11
IRL,Ireland,Europe,Northern Hemisphere,Very High,N/A,8,13.8,13.8,13.8,16.3,18.1,18.1,18.1,14.7,14.7,14.7,12.3,12.3,,2014,23.64,,0.13,0.13,0.13,0.17,0.20,0.20,0.20,0.14,0.14,0.14,0.10,0.10
DEU,Germany,Europe,Northern Hemisphere,Very High,N/A,9,14.5,14.8,14.1,14.8,17.5,17.5,15.7,15.7,15.7,12.5,12.5,12.5,,2015,23.28,,0.14,0.14,0.13,0.14,0.19,0.19,0.16,0.16,0.16,0.11,0.11,0.11
NLD,Netherlands,Europe,Northern Hemisphere,Very High,N/A,10,12.3,11.8,11.6,11.9,13.2,12.7,12.9,12.1,11.8,11.8,11.9,11.9,,2016,23.44,,0.10,0.10,0.09,0.10,0.12,0.11,0.11,0.10,0.10,0.10,0.10,0.10
